0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0848680D,0848680D,0848680D,0848680D,1255459D,1284849D,1284849D,1436513D,1436513D
0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0203524D,0203524D,0867887D,1086832D,1255459D,1255459D,1284849D,1288453D,1288453D,1448062D,1448062D
0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0772031D,0848680D,0961514D,1255459D,1284849D,1284849D,1288453D,1436513D,1436513D,9876549D,9876549D
0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0772031D,0772031D,0848680D,0867887D,1086832D,1284849D,1288453D,1288453D,1431816D,1448062D,1448062D,9876566D,9876566D
0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0574018D,0574018D,0772031D,0772031D,0772031D,0772031D,0848680D,0848680D,0867887D,0961514D,1255459D,1288453D,1431816D,1431816D,1436513D,9876549D,9876549D,A,A
0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0544749D,0544749D,0544749D,0598884D,0598884D,0820143D,0820143D,0848680D,0848680D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0574018D,0574018D,0574018D,0574018D,0772031D,0772031D,0848680D,0848680D,0848680D,0848680D,0961514D,0961514D,0961514D,1086832D,1280712D,1431816D,1436513D,1436513D,1448062D,9876566D,9876566D,AA,AA
0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0598884D,0598884D,0598884D,0820143D,0820143D,0848680D,0848680D,0872237D,0872237D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0772031D,0772031D,0772031D,0772031D,0848680D,0848680D,0961514D,0961514D,0961514D,0961514D,1086832D,1086832D,1086832D,1255459D,1284849D,1436513D,1448062D,1448062D,9876544D,A,A,AAL,AAL
0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0820143D,0820143D,0820143D,0848680D,0848680D,0872237D,0872237D,0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0848680D,0848680D,0848680D,0848680D,0910150D,0910150D,1086832D,1086832D,1086832D,1086832D,1255459D,1255459D,1255459D,1280712D,1431816D,1448062D,9876544D,9876544D,9876549D,AA,AA,AAPL,AAPL
0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0848680D,0848680D,0848680D,0872237D,0872237D,0910150D,0910150D,0948669D,0948669D,0948669D,0948669D,0948669D,0948669D,0948669D,0948669D,0948669D,0961514D,0910150D,0910150D,0910150D,0910150D,0961514D,0961514D,1255173D,1255173D,1255459D,1255459D,1280712D,1280712D,1280712D,1284849D,1436513D,9876544D,9876566D,9876566D,9876566D,AAPL,AAPL,ABBV,ABBV
0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0910150D,0872237D,0872237D,0910150D,0910150D,0948669D,0948669D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0964591D,0961514D,0961514D,0961514D,0961514D,0964591D,0964591D,1280712D,1280712D,1280712D,1280712D,1284849D,1284849D,1284849D,1431816D,1448062D,9876566D,A,A,A,ABBV,ABBV,ABC,ABC
0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0910150D,0943554D,0910150D,0910150D,0943554D,0943554D,0961514D,0961514D,0964591D,0964591D,0964591D,0964591D,0964591D,0964591D,0964591D,0964591D,0964591D,1028411Q,0964591D,0964591D,0964591D,0964591D,1086832D,1086832D,1284849D,1284849D,1284849D,1284849D,1431816D,1431816D,1431816D,1436513D,9876544D,A,AA,AA,AA,ABC,ABC,ABT,ABT
0943554D,0943554D,0943554D,0943554D,0943554D,0943554D,0943554D,0943554D,0943554D,0943554D,0943554D,0943554D,0948669D,0943554D,0943554D,0948669D,0948669D,0964591D,0964591D,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1086832D,1028411Q,1028411Q,1086832D,1086832D,1255173D,1255173D,1431816D,1431816D,1431816D,1431816D,1436513D,1436513D,1436513D,1448062D,9876566D,AA,AAPL,AAPL,AAPL,ABT,ABT,ACN,ACN
0948669D,0948669D,0948669D,0948669D,0948669D,0948669D,0948669D,0948669D,0948669D,0948669D,0948669D,0948669D,0961514D,0948669D,0948669D,0961514D,0961514D,1028411Q,1028411Q,1051665D,1040983D,1040983D,1040983D,1040983D,1086832D,1086832D,1086832D,1086832D,1255173D,1086832D,1086832D,1255173D,1255173D,1280712D,1280712D,1436513D,1436513D,1436513D,1436513D,1448062D,1448062D,1448062D,9876544D,A,AAPL,ABBV,ABBV,ABBV,ACN,ACN,ADBE,ADBE
0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0964591D,0961514D,0961514D,0964591D,0964591D,1051665D,1051665D,1086832D,1051665D,1051665D,1051665D,1051665D,1255173D,1255173D,1255173D,1255173D,1280712D,1255173D,1255173D,1280712D,1280712D,1284849D,1284849D,1448062D,1448062D,1448062D,1448062D,8277831Q,8394653Q,8394653Q,9876566D,AA,ABC,ABC,ABC,ABC,ADBE,ADBE,ADI,ADI
1005945D,0964591D,0964591D,0964591D,0964591D,0964591D,0964591D,0964591D,0964591D,0964591D,0964591D,0964591D,1005945D,0964591D,0964591D,1028411Q,1028411Q,1086832D,1086832D,1255173D,1086832D,1086832D,1086832D,1086832D,1280712D,1280712D,1280712D,1280712D,1281683D,1280712D,1280712D,1281683D,1281683D,1293405D,1317355D,2942331Q,2968900Q,3517233Q,8277831Q,8394653Q,9876544D,9876544D,A,AAPL,ABT,ABT,ABT,ABT,ADI,ADI,ADM,ADM
1028411Q,1005945D,1005945D,1005945D,1005945D,1005945D,1005945D,1005945D,1005945D,1005945D,1005945D,1005945D,1013207D,1005945D,0964591D,1051665D,1051665D,1255173D,1255173D,1255177D,1255173D,1255173D,1255173D,1255173D,1281683D,1281683D,1281683D,1281683D,1284849D,1281683D,1281683D,1284849D,1284849D,1317355D,1431816D,2968900Q,3022239Q,8277831Q,8394653Q,9876544D,9876566D,9876566D,AA,ABC,ACN,ACN,ACN,ACN,ADM,ADM,ADP,ADP
1051665D,1013207D,1013207D,1013207D,1013207D,1013207D,1013207D,1013207D,1013207D,1013207D,1013207D,1013207D,1028411Q,1013207D,1013207D,1073675D,1086832D,1255177D,1255177D,1281683D,1255177D,1255177D,1280712D,1280712D,1284849D,1284849D,1284849D,1284849D,1288652D,1284849D,1284849D,1288652D,1293405D,1431816D,1436513D,3022239Q,3286728Q,8394653Q,9876544D,9876566D,A,A,AAPL,ABT,ADBE,ADBE,ADBE,ADBE,ADP,ADP,ADS,ADS
1073675D,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1028411Q,1051665D,1028411Q,1028411Q,1086832D,1255173D,1281683D,1281683D,1284849D,1280712D,1280712D,1281683D,1281683D,1288652D,1288652D,1288652D,1288652D,1293405D,1288652D,1288652D,1293405D,1317355D,1436513D,1448062D,3286728Q,3393199Q,9876544D,9876566D,A,AA,AA,ABC,ACN,ADI,ADI,ADI,ADI,ADS,ADS,ADSK,ADSK
1086832D,1051665D,1051665D,1051665D,1051665D,1051665D,1051665D,1051665D,1051665D,1051665D,1051665D,1051665D,1073675D,1051665D,1051665D,1255173D,1255177D,1284849D,1284849D,1288652D,1281683D,1281683D,1284849D,1284849D,1293405D,1293405D,1293405D,1293405D,1312089D,1293405D,1293405D,1312089D,1431816D,1448062D,2641504Q,3393199Q,3423152Q,9876566D,A,AA,AAPL,AAPL,ABT,ADBE,ADM,ADM,ADM,ADM,ADSK,ADSK,ADT,ADT
1166Q,1073675D,1073675D,1073675D,1073675D,1073675D,1073675D,1073675D,1073675D,1073675D,1073675D,1073675D,1086832D,1073675D,1073675D,1255177D,1281683D,1288652D,1288652D,1312089D,1284849D,1284849D,1288652D,1288652D,1312089D,1312089D,1312089D,1312089D,1317355D,1312089D,1312089D,1317355D,1436513D,2307532Q,2942331Q,3423152Q,3517233Q,A,AA,AAPL,ABC,ABC,ADBE,ADI,ADP,ADP,ADP,ADP,ADT,ADT,AEE,AEE
1199Q,1086832D,1086832D,1086832D,1086832D,1086832D,1086832D,1086832D,1086832D,1086832D,1086832D,1086832D,1255173D,1086832D,1086832D,1281683D,1284849D,1312089D,1312089D,1317355D,1288652D,1288652D,1293405D,1293405D,1317355D,1317355D,1317355D,1317355D,1431816D,1317355D,1317355D,1431816D,2307532Q,2641504Q,2968900Q,3517233Q,8277831Q,AA,AAPL,ABC,ABT,ABT,ADI,ADM,ADSK,ADSK,ADSK,ADS,AEE,AEE,AEP,AEP
1255173D,1166Q,1166Q,1166Q,1166Q,1166Q,1166Q,1199Q,1199Q,1237Q,1255173D,1255173D,1255177D,1255173D,1255173D,1284849D,1288652D,1317355D,1317355D,140402Q,1312089D,1312089D,1312089D,1312089D,1431816D,1431816D,1431816D,1431816D,1436513D,1431816D,1431816D,1436513D,2641504Q,2942331Q,3022239Q,8277831Q,8394653Q,AAPL,ABC,ABT,ADBE,ADBE,ADM,ADP,AEE,ADT,ADT,ADSK,AEP,AEP,AES,AES
1255177D,1199Q,1199Q,1199Q,1199Q,1199Q,1199Q,1237Q,1237Q,1255173D,1255177D,1255177D,126784Q,1255177D,1255177D,1288652D,1312089D,140402Q,140402Q,1431816D,1317355D,1317355D,1317355D,1317355D,1436513D,1436513D,1436513D,1436513D,2307532Q,1436513D,1436513D,2307532Q,2942331Q,2968900Q,3286728Q,8394653Q,9876544D,ABC,ABT,ADBE,ADI,ADI,ADP,ADSK,AEP,AEE,AEE,ADT,AES,AES,AET,AET
126784Q,1255173D,1237Q,1237Q,1237Q,1237Q,1237Q,1255173D,1255173D,1255177D,1270Q,1281683D,1281683D,126784Q,126784Q,1312089D,1317355D,1431816D,1431816D,1436513D,1431816D,1431816D,1431816D,1431816D,2307532Q,2307532Q,2307532Q,2307532Q,2641504Q,2307532Q,2307532Q,2641504Q,2968900Q,2987536Q,3393199Q,9876544D,9876566D,ABT,ADBE,ADI,ADM,ADM,ADSK,AEE,AES,AEP,AEP,AEE,AET,AET,AFL,AFL
1281683D,1255177D,1255173D,1255173D,1255173D,1255173D,1255173D,1255177D,1255177D,1270Q,1281683D,1284849D,1284849D,1281683D,1281683D,1317355D,134618Q,1436513D,1436513D,2269312Q,1436513D,1436513D,1436513D,1436513D,2641504Q,2641504Q,2641504Q,2641504Q,2676187Q,2641504Q,2641504Q,2942331Q,2987536Q,3022239Q,3403545Q,9876566D,A,ACAS,ADI,ADM,ADP,ADP,AEE,AEP,AET,AES,AES,AEP,AFL,AFL,AGN,AGN
1288652D,1281683D,1255177D,1255177D,1255177D,1255177D,1255177D,1270Q,1270Q,1281683D,1284849D,1288652D,1288652D,1284849D,1284849D,134618Q,140402Q,183291Q,183291Q,228510Q,2269312Q,228510Q,228510Q,228510Q,2676187Q,2676187Q,2676187Q,2676187Q,2942331Q,2942331Q,2942331Q,2968900Q,3022239Q,3286728Q,3414924Q,A,AA,ADBE,ADM,ADP,ADSK,ADSK,AEP,AES,AFL,AET,AET,AES,AGN,AGN,AIG,AIG
1297Q,1288652D,1270Q,1270Q,1270Q,1270Q,1270Q,1281683D,1281683D,1284849D,1288652D,1312089D,1312089D,1288652D,1288652D,140402Q,1431816D,222435Q,222435Q,236555Q,228510Q,2307532Q,2307532Q,2307532Q,2727195Q,2727195Q,2942331Q,2942331Q,2968900Q,2968900Q,2968900Q,2987536Q,3133754Q,3362726Q,3423152Q,AA,AAPL,ADI,ADP,ADSK,AEE,AEE,AES,AET,AGN,AFL,AFL,AET,AIG,AIG,AIV,AIV
1312089D,1297Q,1281683D,1281683D,1281683D,1281683D,1281683D,1284849D,1284849D,1288652D,1297Q,1317355D,1317355D,1312089D,1312089D,1431816D,1436513D,2269312Q,2269312Q,253647Q,2307532Q,253647Q,2641504Q,2641504Q,2942331Q,2942331Q,2968900Q,2968900Q,2987536Q,2987536Q,2987536Q,2987536Q,3286728Q,3393199Q,3517233Q,AAPL,ABC,ADM,ADSK,AEE,AEP,AEP,AET,AFL,AIG,AGN,AGN,AFL,AIV,AIV,AIZ,AIZ
1327Q,1312089D,1288652D,1288652D,1284849D,1284849D,1284849D,1288652D,1288652D,1291Q,1312089D,1327Q,134618Q,1317355D,1317355D,1436513D,1567Q,228510Q,228510Q,2641504Q,236555Q,2641504Q,2676187Q,2676187Q,2968900Q,2968900Q,2987536Q,2987536Q,2999130Q,2999130Q,2999130Q,3022239Q,3393199Q,3403545Q,3692470Q,ABC,ABT,ADP,AEE,AEP,AES,AES,AFL,AGN,AIV,AIG,AIG,AGN,AIZ,AIZ,AKAM,AKAM
134618Q,1327Q,1291Q,1291Q,1288652D,1288652D,1288652D,1291Q,1291Q,1297Q,1317355D,134618Q,140402Q,134618Q,134618Q,1567Q,1567Q,2288005Q,2288005Q,2676187Q,253647Q,2676187Q,2727195Q,2727195Q,297504Q,2987536Q,2999130Q,2999130Q,3022239Q,3022239Q,3022239Q,3026360Q,3403545Q,3414924Q,8206908Q,ABKFQ,ACAS,ADSK,AEP,AES,AET,AET,AGN,AIG,AIZ,AIV,AIV,AIG,AKAM,AKAM,ALL,ALL
1356Q,134618Q,1297Q,1297Q,1291Q,1291Q,1291Q,1297Q,1297Q,1312089D,1327Q,1356Q,1431816D,140402Q,140402Q,162007Q,183291Q,236555Q,236555Q,2727195Q,2641504Q,2727195Q,2942331Q,2942331Q,2987536Q,2999130Q,3022239Q,3022239Q,3026360Q,3026360Q,3026360Q,3080867Q,3414924Q,3423152Q,8277831Q,ABT,ADBE,AEE,AES,AET,AFL,AFL,AIG,AIV,AKAM,AIZ,AIZ,AIV,ALL,ALL,ALLE,ALLE
1377Q,1356Q,1312089D,1312089D,1297Q,1297Q,1297Q,1312089D,1312089D,1317355D,134618Q,140402Q,1436513D,1431816D,1431816D,183291Q,2196Q,244630Q,253647Q,2731112Q,2676187Q,2942331Q,2968900Q,2968900Q,2999130Q,3022239Q,3026360Q,3026360Q,3029830Q,3080867Q,3080867Q,3133754Q,3423152Q,3517233Q,8394653Q,ACAS,ADI,AEP,AET,AFL,AGN,AGN,AIV,AIZ,ALL,AKAM,AKAM,AIZ,ALLE,ALLE,ALTR,ALTR
140402Q,1377Q,1327Q,1327Q,1312089D,1312089D,1312089D,1327Q,1327Q,1327Q,1356Q,1423Q,1463Q,1436513D,1436513D,2009Q,2200Q,253647Q,2641504Q,285939Q,2727195Q,2968900Q,297504Q,297504Q,3022239Q,3026360Q,3029830Q,3029830Q,3080867Q,3133754Q,3133754Q,3286728Q,3517233Q,3692470Q,9876544D,ADBE,ADM,AES,AFL,AGN,AIG,AIG,AIZ,AKAM,ALTR,ALL,ALL,AKAM,ALTR,ALTR,ALXN,ALXN
1423Q,140402Q,134618Q,134618Q,1327Q,1327Q,1327Q,134618Q,134618Q,134618Q,140402Q,1431816D,1511Q,1567Q,1567Q,204923Q,2206Q,2641504Q,2676187Q,291784Q,291784Q,297504Q,2987536Q,2987536Q,3026360Q,3029830Q,3080867Q,3080867Q,3133754Q,3153670Q,3153670Q,3393199Q,3605818Q,4621824Q,9876566D,ADI,ADP,AET,AGN,AIG,AIV,AIV,AKAM,ALL,ALXN,ALTR,ALTR,ALL,ALXN,ALXN,AMAT,AMAT
1455Q,1423Q,1356Q,1356Q,134618Q,134618Q,134618Q,1356Q,1356Q,1356Q,1423Q,1436513D,1513Q,1581Q,162007Q,2106Q,2223Q,2691Q,2727195Q,2942331Q,2942331Q,2987536Q,2999130Q,2999130Q,3029830Q,3080867Q,3133754Q,3133754Q,3153670Q,3286728Q,3286728Q,3403545Q,3692470Q,8206908Q,A,ADM,ADSK,AFL,AIG,AIV,AIZ,AIZ,AKS,ALTR,AMAT,ALXN,ALXN,ALLE,AMAT,AMAT,AME,AME
1456Q,1455Q,1377Q,1377Q,1356Q,1356Q,1356Q,1377Q,1377Q,1377Q,1436513D,1463Q,1567Q,1618Q,1802Q,2196Q,222435Q,2727195Q,2731112Q,2953349Q,2953349Q,2999130Q,3022239Q,3022239Q,3080867Q,3133754Q,3153670Q,3153670Q,3286728Q,3393199Q,3393199Q,3414924Q,4621824Q,8277831Q,AA,ADP,AEE,AGN,AIV,AIZ,AKAM,AKAM,ALL,AMAT,AMD,AMAT,AMAT,ALTR,AME,AME,AMG,AMG
1463Q,1456Q,140402Q,140402Q,1377Q,1377Q,1377Q,140402Q,140402Q,140402Q,1455Q,1511Q,1581Q,162007Q,183291Q,2200Q,2251Q,2731112Q,2755Q,2968900Q,2968900Q,3022239Q,3026360Q,3026360Q,3133754Q,3153670Q,3286728Q,3286728Q,3393199Q,3403545Q,3403545Q,3423152Q,8206908Q,8394653Q,AAPL,ADSK,AEP,AIG,AIZ,AKAM,AKS,AKS,ALTR,AMD,AMGN,AMD,AMD,ALXN,AMG,AMG,AMGN,AMGN
1503Q,1463Q,1423Q,1423Q,140402Q,140402Q,140402Q,1423Q,1423Q,1423Q,1456Q,1513Q,1618Q,1680Q,1974Q,2206Q,2269312Q,2745Q,2770014Q,297504Q,297504Q,3026360Q,3029830Q,3029830Q,3153670Q,3286728Q,3393199Q,3393199Q,3403545Q,3414924Q,3414924Q,3517233Q,8277831Q,9876544D,ABC,AEE,AES,AIV,AKAM,AKS,ALL,ALL,AMAT,AMGN,AMP,AMGN,AMGN,AMAT,AMGN,AMGN,AMP,AMP
1511Q,1503Q,1436513D,1436513D,1423Q,1423Q,1423Q,1436513D,1436513D,1436513D,1463Q,1567Q,162007Q,1802Q,2009Q,2218Q,2282655Q,2755Q,285939Q,2999130Q,2999130Q,3029830Q,3080867Q,3080867Q,3286728Q,3393199Q,3403545Q,3403545Q,3414924Q,3423152Q,3423152Q,3605818Q,8394653Q,9876566D,ABKFQ,AEP,AET,AIZ,AKS,ALL,ALTR,ALTR,AMD,AMP,AMT,AMP,AMP,AME,AMP,AMP,AMT,AMT
1513Q,1511Q,1455Q,1455Q,1436513D,1436513D,1436513D,1455Q,1455Q,1455Q,1511Q,1581Q,1680Q,183291Q,204923Q,2223Q,2284Q,2770014Q,291784Q,300583Q,301710Q,3075558Q,3133754Q,3133754Q,3393199Q,3403545Q,3414924Q,3414924Q,3423152Q,3517233Q,3517233Q,3692470Q,9876544D,A,ABT,AES,AFL,AKAM,ALL,ALTR,AMAT,AMAT,AMGN,AMT,AMZN,AMT,AMT,AMGN,AMT,AMT,AMZN,AMZN
1530Q,1513Q,1456Q,1456Q,1455Q,1455Q,1455Q,1456Q,1456Q,1456Q,1513Q,1618Q,1802Q,1958Q,2106Q,222435Q,228510Q,285939Q,2942331Q,301710Q,3022239Q,3080867Q,3153670Q,3153670Q,3403545Q,3414924Q,3423152Q,3423152Q,3517233Q,3605818Q,3605818Q,4621824Q,9876566D,AA,ADBE,AET,AGN,AKS,ALTR,AMAT,AMD,AMD,AMP,AMZN,AN,AMZN,AMZN,AMP,AMZN,AMZN,AN,AN
1567Q,1530Q,1463Q,1463Q,1456Q,1456Q,1456Q,1463Q,1463Q,1463Q,1530Q,162007Q,183291Q,1974Q,210967Q,2251Q,2288005Q,291784Q,2953349Q,3022239Q,3026360Q,3133754Q,3286728Q,3286728Q,3414924Q,3423152Q,3517233Q,3517233Q,3605818Q,3692470Q,3692470Q,8206908Q,A,AAPL,ADI,AFL,AIG,ALL,AMAT,AMD,AMGN,AMGN,AMT,AN,ANF,AN,AN,AMT,AN,AN,ANTM,ANTM
1581Q,1567Q,1503Q,1511Q,1463Q,1463Q,1463Q,1511Q,1511Q,1511Q,1567Q,1680Q,1958Q,2009Q,2168Q,2269312Q,231079Q,2942331Q,2968900Q,3026360Q,3029830Q,3153670Q,329556Q,3393199Q,3423152Q,3517233Q,355488Q,355488Q,3692470Q,4621824Q,4621824Q,8277831Q,AA,ABC,ADM,AGN,AIV,ALTR,AMD,AMGN,AMP,AMP,AMZN,ANF,ANRZQ,ANF,ANF,AMZN,ANTM,ANTM,AON,AON
